name,address
 Cell Care    ,"Navrangpura, Ahmedabad"
 Zoop Mobile    ,"Vastrapur, Ahmedabad"
 Surya Electronics And Appliances    ,"- Mehsana Highway Chandkheda, Ahmedabad"
 Prince Communications    ,"Mansi Cross Road Satellite, Ahmedabad"
 Mobile Square    ,"Gurukul, Ahmedabad"
 Perfect Communication    ,"Odhav Gidc, Ahmedabad"
 Mexx Mobile World    ,"Prathana Complex Bapunagar, Ahmedabad"
 The Mobile Hub    ,"Narayan  Temple Gurukul Road, Ahmedabad"
 Itronics    ,"Shiv Deep Building Maninagar, Ahmedabad"
 Raj Gift Mobile Shop (JioMart Digital Partner)    ,"Isanpur, Ahmedabad"
