name,latitude,longitude
Manav Mandir,23.0461532,72.5396662
"Karnvanath Mahadev, Shiv Temple",23.0470512,72.5498248
Paramdham Temple,23.0279683,72.5206423
Gayatri Mandir,23.0616617,72.5914612
Jalaram Mandir,23.0180339,72.5617653
"Bhimnath Mahadev, Shiv Temple",23.0119553,72.5499794
"Jagannath Mandir, Temple",23.0114213,72.5810755
Sant Asharamji Ashram,23.0931619,72.6024491
N/A,23.0110649,72.5705432
Temple,23.0151595,72.5666935
N/A,23.0141905,72.5682822
N/A,23.0238654,72.590076
Ganjpir Dada Ni Dargah,21.3376879,69.989865
Parshvanath Jain,21.3779863,69.8692659
Manikarnikeshwar Mahadev Temple,22.9978398,72.6073978
Hanuman temple,21.6259471,72.9437811
Koteshwar Temple,23.6876337,68.5275501
N/A,23.6830542,68.5309378
N/A,22.8404642,69.2193509
Mohammed Pannah Mosque,23.2499081,69.6675459
N/A,23.234694,69.7955382
Tropic of Cancer Board,23.5,69.662499
N/A,23.2448861,69.6871851
N/A,23.2577981,69.6624612
N/A,23.2800964,69.7752845
Rudramata Temple,23.3769237,69.7132839
Ranchodrai Temple,22.7543064,73.1503886
Mahadev Temple,23.2638239,69.7065396
Changeswar Mahadev,22.689472,72.8644867
Santram Deri,22.6761037,72.8674001
Mai Mandir,22.6894403,72.8580347
N/A,23.0034536,72.5651766
Saibaba Mandir,20.9437229,72.9222409
Ashapuri Mata Mandir,20.947724,72.9240267
Ramji Mandir,20.9492813,72.927369
Takhteshwar Temple,21.765831,72.1457408
Sai Baba Temple,20.5862687,72.8983632
Swami nayaran tample,22.2930295,70.7819751
Ambe Mata Mandir,23.2451973,72.6476554
Shri Tarangaji,23.9666637,72.7543021
Dada Alay,22.3046807,73.2049371
Sai Baba,22.3035443,73.2043115
Shree Siddhivinayak Temple,22.2999403,73.1994009
Suryanarayan Temple,22.3034353,73.1970121
Khane Rafaiya Masjid,22.2994661,73.1959004
N/A,22.3051002,73.2040287
N/A,23.0246727,72.5824724
N/A,23.0173101,72.5896206
Gopnath Mahadev Mandir,23.0688147,72.5648948
Mar gregorios orthodox church,23.6101893,72.3827859
Hanumanji mandir,23.6061169,72.2924258
Mahakali Mataji temple,23.5979404,72.2201756
Shri Malguru Maharaj Vav Sankul,23.3141083,72.3340278
Verai Mataji temple,23.3440706,72.3553324
Pipaleshwar Mahadev Temple,23.3439008,72.3538086
Kshemkalyani Mata Nu Mandir,23.4695225,72.2947187
Ganpati Dada Temple,23.7841868,72.2811348
Goriaya Veer Temple,23.7688388,72.3658463
Vaijnath Mahadev Mandir,23.8054396,72.4173741
Tejeshwar Mahadev mandir,23.2945815,72.3349835
Bhoyani Jain Tritha,23.3595416,72.2290503
Mahadev Mandir,23.4055762,72.2425677
Dudhai Khodiyar Ma,23.2433137,72.3218146
Bahucharaji mataji mandir,23.6274947,72.3383431
Punit Ashram,23.0024214,72.605685
Shri Simandhar Swami Jain Derasar,23.5931939,72.3795053
Gayatri Mandir,23.5888424,72.3783165
Deveshwar Mahadev Mandir,23.2622377,72.2747222
Khodiyar Temple,23.262212,72.2743953
Ram Ji Mandir,23.262048,72.2739589
Dashamma temple,23.8510539,72.0705873
Sri Sai Baba Temple,23.8348702,72.104312
Shree Pareviya Veer Dada Mandir Complex,23.787609,72.1368582
Rehoboth Christian Assembly,23.0010208,72.5368761
Jumma Masjid,24.2190841,72.1537992
Brahmaji Temple,24.038289,73.0478911
Kashi Vishwanath Mahadev Temple,24.0343243,73.0468652
Gayatri Mandir,24.0340798,73.0468102
Pankheshwar Mahadev Temple,24.0356153,73.0515069
N/A,24.029778,73.0515057
Vimalnath Jain Temple,24.0306374,73.0477269
Adinath Jain Temple,24.0389484,73.0472569
Mahakali Temple,24.0386903,73.0507815
